# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
9.000000000000000E+008;-2.033935636281967E-001;-2.734101116657257E-001;
9.085000000000000E+008;-3.013485372066498E-001;-7.273984700441361E-002;
9.170000000000000E+008;-1.985332518815994E-001;1.196279376745224E-001;
9.255000000000000E+008;-5.470009054988623E-003;1.238394826650620E-001;
9.340000000000000E+008;9.269074350595474E-002;-1.777479075826705E-003;
9.425000000000000E+008;5.780834704637528E-002;-1.519467681646347E-001;
9.510000000000000E+008;-7.729960978031158E-002;-1.854639649391174E-001;
9.595000000000000E+008;-1.568929255008698E-001;-1.121849641203880E-001;
9.680000000000000E+008;-1.371869593858719E-001;-1.854146458208561E-002;
9.765000000000000E+008;-5.587507039308548E-002;-6.173702422529459E-003;
9.850000000000000E+008;-1.933897472918034E-002;-6.386387348175049E-002;
9.935000000000000E+008;-5.885264649987221E-002;-1.327895820140839E-001;
1.002000000000000E+009;-1.511469036340714E-001;-1.306257694959641E-001;
1.010500000000000E+009;-2.010173946619034E-001;-2.708569355309010E-002;
1.019000000000000E+009;-1.218732222914696E-001;6.439547240734100E-002;
1.027500000000000E+009;-6.064542569220066E-003;4.985694959759712E-002;
1.036000000000000E+009;5.594601482152939E-002;-6.174856051802635E-002;
1.044500000000000E+009;-1.716595143079758E-002;-1.814709454774857E-001;
1.053000000000000E+009;-1.395193934440613E-001;-1.857403963804245E-001;
1.061500000000000E+009;-2.286850512027741E-001;-1.231578439474106E-001;
1.070000000000000E+009;-2.685043811798096E-001;7.178673986345530E-003;
1.078500000000000E+009;-1.716191917657852E-001;1.464361101388931E-001;
1.087000000000000E+009;3.383252769708633E-002;1.432151198387146E-001;
1.095500000000000E+009;1.212692111730576E-001;-4.436814039945602E-002;
1.104000000000000E+009;2.853865362703800E-002;-2.128661572933197E-001;
1.112500000000000E+009;-1.598415374755859E-001;-2.360136359930039E-001;
1.121000000000000E+009;-2.806518375873566E-001;-1.030609384179115E-001;
1.129500000000000E+009;-2.456757426261902E-001;5.958947539329529E-002;
1.138000000000000E+009;-1.031729355454445E-001;1.218071430921555E-001;
1.146500000000000E+009;-3.083944029640406E-004;4.078274220228195E-002;
1.155000000000000E+009;2.062892774119973E-003;-4.953029379248619E-002;
1.163500000000000E+009;-5.643491819500923E-002;-1.121069490909576E-001;
1.172000000000000E+009;-1.278109699487686E-001;-9.719317406415939E-002;
1.180500000000000E+009;-1.434998512268066E-001;-4.574946686625481E-002;
1.189000000000000E+009;-1.093150451779366E-001;-3.498244285583496E-002;
1.197500000000000E+009;-1.323543787002564E-001;-6.815855950117111E-002;
1.206000000000000E+009;-1.737596243619919E-001;-3.218430653214455E-002;
1.214500000000000E+009;-1.709243357181549E-001;2.344818785786629E-002;
1.223000000000000E+009;-1.161187514662743E-001;6.962642073631287E-002;
1.231500000000000E+009;-4.561569169163704E-002;4.168604686856270E-002;
